condition,subject,DINO
no_ppl,backpack,0.63280189037323
no_ppl,backpack_dog,0.6952100396156311
no_ppl,bear_plushie,0.8157349824905396
no_ppl,berry_bowl,0.6373617649078369
no_ppl,can,0.6468804478645325
no_ppl,candle,0.6265443563461304
no_ppl,cat,0.819075882434845
no_ppl,cat2,0.7594262361526489
no_ppl,clock,0.5880423188209534
no_ppl,colorful_sneaker,0.8492342233657837
no_ppl,dog,0.7841600179672241
no_ppl,dog2,0.8136239647865295
no_ppl,dog3,0.6044125556945801
no_ppl,dog5,0.748832106590271
no_ppl,dog6,0.7937881946563721
no_ppl,dog7,0.7045126557350159
no_ppl,dog8,0.7596241235733032
no_ppl,duck_toy,0.7295241355895996
no_ppl,fancy_boot,0.7509477734565735
no_ppl,grey_sloth_plushie,0.7828837037086487
no_ppl,monster_toy,0.4211554527282715
no_ppl,pink_sunglasses,0.6200736165046692
no_ppl,poop_emoji,0.6942959427833557
no_ppl,rc_car,0.64905846118927
no_ppl,red_cartoon,0.5061419010162354
no_ppl,robot_toy,0.6105822324752808
no_ppl,shiny_sneaker,0.8459997773170471
no_ppl,teapot,0.5380356311798096
no_ppl,vase,0.6629803776741028
no_ppl,wolf_plushie,0.7098014950752258
ppl,backpack,0.5618897080421448
ppl,backpack_dog,0.33393555879592896
ppl,berry_bowl,0.39291277527809143
ppl,can,0.49843287467956543
ppl,candle,0.5955420732498169
ppl,cat,0.7125910520553589
ppl,cat2,0.6835827827453613
ppl,clock,0.4756273031234741
ppl,colorful_sneaker,0.7979266047477722
ppl,dog,0.6346646547317505
ppl,dog2,0.6262280941009521
ppl,dog3,0.3287446200847626
ppl,dog5,0.47438517212867737
ppl,dog6,0.5405266284942627
ppl,dog7,0.5149585008621216
ppl,dog8,0.5306233763694763
ppl,duck_toy,0.5706513524055481
ppl,fancy_boot,0.5438607335090637
ppl,grey_sloth_plushie,0.7506669759750366
ppl,monster_toy,0.33376339077949524
ppl,pink_sunglasses,0.579365074634552
ppl,poop_emoji,0.6032639741897583
ppl,rc_car,0.5549144744873047
ppl,red_cartoon,0.4611089825630188
ppl,robot_toy,0.4658079147338867
ppl,shiny_sneaker,0.796161949634552
ppl,teapot,0.5464810132980347
ppl,vase,0.6027898192405701
ppl,wolf_plushie,0.6121332049369812
