condition,subject,DIV
no_ppl,backpack,0.6403997987508774
no_ppl,backpack_dog,0.47387484088540077
no_ppl,bear_plushie,0.5015891008079052
no_ppl,berry_bowl,0.6214506477117538
no_ppl,can,0.5458967424929142
no_ppl,candle,0.5322962068021297
no_ppl,cat,0.4635142311453819
no_ppl,cat2,0.6162322796881199
no_ppl,clock,0.6153193637728691
no_ppl,colorful_sneaker,0.4370594024658203
no_ppl,dog,0.658975712954998
no_ppl,dog2,0.5944009982049465
no_ppl,dog3,0.576742373406887
no_ppl,dog5,0.6217493675649166
no_ppl,dog6,0.6355074420571327
no_ppl,dog7,0.5511895306408405
no_ppl,dog8,0.5462260544300079
no_ppl,duck_toy,0.6145514100790024
no_ppl,fancy_boot,0.5469803437590599
no_ppl,grey_sloth_plushie,0.4845098406076431
no_ppl,monster_toy,0.6118892729282379
no_ppl,pink_sunglasses,0.685416966676712
no_ppl,poop_emoji,0.5826106332242489
no_ppl,rc_car,0.5558894723653793
no_ppl,red_cartoon,0.7821001335978508
no_ppl,robot_toy,0.5429781377315521
no_ppl,shiny_sneaker,0.5012061148881912
no_ppl,teapot,0.6233412772417068
no_ppl,vase,0.6642916426062584
no_ppl,wolf_plushie,0.5222906172275543
ppl,backpack,0.6065235733985901
ppl,backpack_dog,0.6372815892100334
ppl,berry_bowl,0.6410432333747547
ppl,can,0.6290205381810665
ppl,candle,0.58835760379831
ppl,cat,0.6448204418023427
ppl,cat2,0.6759214724103609
ppl,clock,0.6368563206245502
ppl,colorful_sneaker,0.5983419548720121
ppl,dog,0.664223987609148
ppl,dog2,0.6368690071006615
ppl,dog3,0.6500924689074357
ppl,dog5,0.655554826060931
ppl,dog6,0.6728180659313996
ppl,dog7,0.6224676681061586
ppl,dog8,0.650794285039107
ppl,duck_toy,0.6447550300508738
ppl,fancy_boot,0.6320941255738337
ppl,grey_sloth_plushie,0.5753178553034862
ppl,monster_toy,0.671385350326697
ppl,pink_sunglasses,0.6080683274194598
ppl,poop_emoji,0.579165559882919
ppl,rc_car,0.6207707542926073
ppl,red_cartoon,0.7260106193522612
ppl,robot_toy,0.6028440843025843
ppl,shiny_sneaker,0.6143733958403269
ppl,teapot,0.6982940907279651
ppl,vase,0.6706716405848663
ppl,wolf_plushie,0.58403303163747
